Name,hof_status,games,pa,hr,rbi,sb,avg,obp,slg,wrc,Offensive_value,defensive_value,war
Red Murray,notHOF,332,1316,15,124,76,0.271,0.317,0.391,121,35.3,-23.1,6.5
Chris Duncan,notHOF,389,1317,55,175,4,0.257,0.348,0.458,111,22.7,-32,3.2
Bob Bescher,notHOF,323,1329,11,85,69,0.239,0.324,0.33,102,2.9,-17.2,3.3
Brendan Ryan,notHOF,415,1332,9,95,39,0.259,0.314,0.344,77,-26.1,38.3,5.4
Reggie Smith,notHOF,325,1333,50,199,14,0.293,0.371,0.495,139,58.4,-9.3,9.8
Nippy Jones,notHOF,374,1357,22,196,4,0.27,0.308,0.384,81,-33.3,-26,-1.4
Tommy Pham,notHOF,385,1361,53,161,39,0.267,0.36,0.458,123,46.4,-7.4,8.4
Max Flack,notHOF,340,1364,7,98,18,0.278,0.342,0.367,88,-28,-19.9,0.4
Jack Clark,notHOF,322,1371,66,216,3,0.274,0.413,0.522,154,87.5,-33,10.1
Lars Nootbaar,notHOF,392,1379,45,146,24,0.246,0.348,0.425,116,30.6,-0.6,7.8
Daniel Descalso,notHOF,529,1380,10,111,16,0.243,0.313,0.341,81,-23,-12,0.7
Jedd Gyorko,notHOF,416,1383,63,180,10,0.256,0.328,0.456,110,12.2,21.7,8
Randal Grichuk,notHOF,404,1386,66,182,15,0.249,0.297,0.488,108,16.6,-0.5,6.3
Jimmy Burke,notHOF,357,1387,1,109,60,0.246,0.292,0.291,77,-34.4,3.1,1.8
Bob O'Farrell,notHOF,387,1393,12,142,6,0.271,0.357,0.372,96,-7.2,14.2,5.3
Jose Cruz,notHOF,445,1395,26,128,29,0.247,0.333,0.379,100,1.5,-13.1,3.6
Chief Wilson,notHOF,381,1403,15,144,26,0.258,0.304,0.362,98,-5.1,-3.3,3.6
Verne Clemons,notHOF,470,1408,5,140,6,0.287,0.349,0.36,100,-0.4,15.5,6.5
So Taguchi,notHOF,578,1409,19,154,36,0.283,0.336,0.391,92,-8.3,-4.5,3.3
Ray Jablonski,notHOF,369,1410,36,230,12,0.28,0.326,0.422,92,-14.6,-16.1,1.5
Mike Grady,notHOF,381,1416,18,156,33,0.283,0.364,0.412,127,37.3,-6.7,9
George Barclay,notHOF,348,1432,4,123,56,0.256,0.294,0.309,85,-24.9,-35.1,-1.1
Tony Peña,notHOF,406,1435,19,132,17,0.248,0.303,0.342,76,-41.4,26.7,3.3
Mickey Owen,notHOF,450,1437,7,118,13,0.257,0.326,0.335,79,-37.9,13.4,2.2
Charlie James,notHOF,484,1438,29,170,7,0.256,0.285,0.374,73,-48.6,0.1,-0.1
Colby Rasmus,notHOF,385,1440,50,158,20,0.259,0.334,0.444,110,31,-0.7,7.7
Jack Crooks,notHOF,328,1442,9,106,57,0.226,0.396,0.296,107,11.2,-5.1,5.3
Sparky Adams,notHOF,319,1463,1,108,23,0.297,0.35,0.387,89,-19,-1,2.8
Gary Gaetti,notHOF,380,1473,51,192,10,0.263,0.322,0.443,98,-4.5,18.8,5.9
Aaron Miles,notHOF,481,1479,8,102,7,0.288,0.332,0.359,82,-33.1,-5.9,0.9
Andy High,notHOF,392,1482,18,148,10,0.287,0.351,0.392,88,-27,2.3,2.6
Luis Melendez,notHOF,561,1489,9,117,17,0.249,0.302,0.321,75,-43.1,-6.2,-0.3
Brendan Donovan,notHOF,374,1491,30,152,12,0.28,0.364,0.407,119,30.1,-8.5,7.4
Heinie Mueller,notHOF,420,1495,15,193,25,0.302,0.354,0.433,106,10,-17.3,4.6
Dexter Fowler,notHOF,389,1500,49,177,21,0.233,0.334,0.408,100,0.6,-35.4,1.4
Ron Gant,notHOF,382,1500,73,211,35,0.238,0.332,0.456,106,13.6,2,6.1
Jack Boyle,notHOF,381,1518,11,185,42,0.241,0.304,0.315,77,-65.6,34.2,3.5
