Name,hof_status,games,pa,hr,rbi,sb,avg,obp,slg,wrc,Offensive_value,defensive_value,war
Ernie Orsatti,notHOF,701,2388,10,237,46,0.306,0.36,0.416,104,19.9,-32.1,6.6
Bernard Gilkey,notHOF,593,2398,52,250,80,0.282,0.354,0.431,115,41.1,3.2,12.6
Johnny Hopp,notHOF,669,2399,24,244,69,0.291,0.362,0.418,117,61.6,-9.3,13.2
Tommy Edman,notHOF,596,2425,53,222,106,0.265,0.319,0.408,99,19.5,47.2,15.2
Jimmie Wilson,notHOF,667,2432,10,303,41,0.281,0.339,0.373,85,-41.5,27.3,6.4
John Mabry,notHOF,748,2437,53,272,3,0.281,0.335,0.411,94,-23.9,-36.9,1.7
Solly Hemus,notHOF,708,2494,38,198,16,0.275,0.392,0.414,118,56.4,58.9,20.1
Brian Jordan,notHOF,643,2506,84,367,86,0.291,0.339,0.474,114,49.7,65.1,19.3
Nolan Arenado,notHOF,601,2520,106,372,12,0.271,0.328,0.47,117,48.8,34.6,17.3
William Robinson,notHOF,603,2584,12,303,221,0.255,0.392,0.348,120,85.8,-10.4,15.4
Leo Durocher,notHOF,683,2586,15,294,18,0.255,0.302,0.332,69,-100.5,32,1.9
Joe Cunningham,notHOF,738,2622,52,298,12,0.304,0.413,0.443,128,86.9,-40.5,13.7
Ken Oberkfell,notHOF,724,2646,11,210,45,0.292,0.364,0.381,109,26.6,36.1,15.5
Homer Smoot,notHOF,620,2653,14,252,84,0.292,0.338,0.385,116,49.2,-31,11.9
Charlie Gelbert,notHOF,693,2653,13,292,31,0.275,0.34,0.385,86,-49.7,59.2,9.8
Jon Jay,notHOF,757,2669,29,227,43,0.287,0.354,0.384,107,21,-12.8,9.5
Steve Evans,notHOF,680,2673,16,303,53,0.268,0.361,0.369,112,26.7,-42,8
Skip Schumaker,notHOF,810,2687,23,211,20,0.288,0.345,0.377,97,-13.7,-36.4,3.4
Don Blasingame,notHOF,602,2715,11,145,65,0.275,0.35,0.352,89,-35.7,40.3,9.1
Paul DeJong,notHOF,698,2716,115,338,23,0.233,0.305,0.426,96,-19.3,26,9.7
Mike Tyson,notHOF,844,2734,22,238,21,0.244,0.288,0.328,66,-110,51.2,2.9
Dots Miller,notHOF,697,2796,10,275,81,0.257,0.308,0.336,94,-13.9,16.3,9.6
Ray Blades,notHOF,767,2846,50,340,33,0.301,0.395,0.46,125,93.6,-16.2,17
Ted Sizemore,notHOF,679,2873,11,230,27,0.26,0.329,0.319,85,-49.6,35.9,8.3
Wally Moon,notHOF,702,2909,78,331,48,0.291,0.366,0.454,116,52.7,-38,10.5
Bill Gleason,notHOF,659,3041,7,232,42,0.275,0.324,0.341,104,7.7,38.6,14.7
Kolten Wong,notHOF,852,3044,53,281,88,0.261,0.333,0.384,96,6.3,25.8,13.3
Mike Shannon,notHOF,882,3056,68,367,19,0.255,0.311,0.387,97,-12.6,-22.3,7.9
Ripper Collins,notHOF,777,3077,106,516,15,0.307,0.37,0.517,134,134.6,-27.6,20.2
Todd Zeile,notHOF,757,3087,75,394,33,0.267,0.349,0.415,111,34.4,-27.3,11.4
Garry Templeton,notHOF,713,3114,25,281,138,0.305,0.325,0.418,103,7.4,54.2,17
Tommy Dowd,notHOF,684,3122,17,277,187,0.275,0.328,0.362,81,-81.1,-60.4,-1.4
Tom Pagnozzi,notHOF,927,3142,44,320,18,0.253,0.299,0.359,77,-90.8,94,10.6
José Oquendo,notHOF,989,3173,13,227,17,0.264,0.359,0.331,96,-25.7,72.7,15.6
Milt Stock,notHOF,741,3256,10,387,59,0.305,0.355,0.382,104,8.1,-12.5,11.3
Miller Huggins,notHOF,803,3427,5,164,174,0.27,0.402,0.319,116,68.6,14,20.9
Dal Maxvill,notHOF,1205,3492,6,231,7,0.22,0.296,0.263,59,-164.5,112.2,6.6
Tip O'Neill,notHOF,785,3519,47,625,118,0.343,0.406,0.489,145,228.9,-11.3,31.3
Del Rice,notHOF,1038,3536,60,373,2,0.241,0.316,0.358,80,-90.1,56,8.3
Jimmy Brown,notHOF,811,3569,9,307,36,0.282,0.328,0.359,87,-52.7,33.4,9.3
Paul Goldschmidt,notHOF,836,3584,153,477,45,0.278,0.36,0.483,131,135.8,-48.1,21.2
George Hendrick,notHOF,893,3664,122,582,19,0.294,0.345,0.47,125,101.5,-44.2,18.8
Whitey Kurowski,notHOF,916,3691,106,529,19,0.286,0.366,0.455,126,119,-2.1,24.5
Terry Pendleton,notHOF,927,3744,44,442,99,0.259,0.308,0.356,83,-72.6,90.7,14.2
Edgar Renteria,notHOF,903,3759,71,451,148,0.29,0.347,0.42,99,1.4,52.6,17.4
Taylor Douthit,notHOF,855,3844,29,342,58,0.3,0.373,0.406,101,12.4,14.9,15.4
Vince Coleman,notHOF,878,3906,15,217,549,0.265,0.326,0.339,88,11.2,-23.2,11.9
Joe Torre,notHOF,918,3909,98,558,12,0.308,0.382,0.458,132,145.5,-43.6,25.4
Arlie Latham,notHOF,847,3971,11,250,369,0.266,0.319,0.338,97,21,104.1,25.7
Matt Holliday,notHOF,982,4121,156,616,29,0.293,0.38,0.494,141,184,-59.8,26.4
Jack Smith,notHOF,1111,4147,36,299,203,0.284,0.335,0.387,101,15.8,-43.9,11.7
Ed Konetchy,notHOF,982,4152,36,476,151,0.283,0.362,0.409,125,120.4,1.7,28.1
Ken Reitz,notHOF,1100,4168,61,454,5,0.263,0.292,0.369,79,-103.1,1.7,3.5
Tim McCarver,notHOF,1181,4193,66,453,39,0.272,0.329,0.388,98,-13.2,44.8,19.1
Tom Herr,notHOF,1029,4272,19,435,152,0.274,0.349,0.354,99,4,30.5,18.2
Jim Edmonds,notHOF,1105,4356,241,713,37,0.285,0.393,0.555,143,241.2,48.4,42.4
Pepper Martin,notHOF,1189,4521,59,501,146,0.298,0.358,0.443,114,103.4,-43,20.2
Charlie Comiskey,notHOF,1036,4554,26,694,336,0.273,0.299,0.354,93,-17.5,63.5,20.8
Bill White,notHOF,1113,4617,140,631,65,0.298,0.357,0.472,120,102.8,-21.9,24.8
Keith Hernandez,notHOF,1165,4724,81,595,81,0.299,0.385,0.448,132,170.7,1,33.9
Terry Moore,notHOF,1298,5204,80,513,82,0.28,0.34,0.399,99,4.9,19.3,19.4
Matt Carpenter,notHOF,1388,5382,159,591,27,0.261,0.366,0.446,124,146.7,-35.7,29.6
Marty Marion,notHOF,1502,5924,34,605,35,0.264,0.323,0.346,84,-118.7,223.6,30
Julian Javier,notHOF,1578,6079,76,494,134,0.258,0.297,0.356,78,-153,17.5,7.7
Willie McGee,notHOF,1661,6100,63,678,301,0.294,0.329,0.4,100,12.4,-13.6,20.8
Ray Lankford,notHOF,1580,6290,228,829,250,0.273,0.365,0.481,124,189.9,13.7,40.4
Curt Flood,notHOF,1738,6914,84,633,88,0.293,0.343,0.39,102,7.4,101.9,36.3
